Commodity,CalendarDay,UOM,MandiWholeSalePrice,TimeFrame,Source
Onion,2023-04-21,Rs/Qtl,804.35,Three years ago as on 2023-04-21,Agmarknet
Onion,2024-04-21,Rs/Qtl,1293.97,Two years ago as on 2024-04-21,Agmarknet
Onion,2025-04-21,Rs/Qtl,1076.74,An year ago as on 2025-04-21,Agmarknet
Onion,2026-03-21,Rs/Qtl,1188.15,A Month ago as on 2026-03-21,Agmarknet
Onion,2026-03-31,Rs/Qtl,1013.93,Three weeks ago as on 2026-03-31,Agmarknet
Onion,2026-04-07,Rs/Qtl,1033.33,Two weeks ago as on 2026-04-07,Agmarknet
Onion,2026-04-14,Rs/Qtl,1089.81,A week ago as on 2026-04-14,Agmarknet
Onion,2026-04-21,Rs/Qtl,1064.93,Price as on 2026-04-21,Agmarknet
Potato,2023-04-21,Rs/Qtl,841.43,Three years ago as on 2023-04-21,Agmarknet
Potato,2024-04-21,Rs/Qtl,1669.95,Two years ago as on 2024-04-21,Agmarknet
Potato,2025-04-21,Rs/Qtl,1160.76,An year ago as on 2025-04-21,Agmarknet
Potato,2026-03-21,Rs/Qtl,607.37,A Month ago as on 2026-03-21,Agmarknet
Potato,2026-03-31,Rs/Qtl,825.88,Three weeks ago as on 2026-03-31,Agmarknet
Potato,2026-04-07,Rs/Qtl,613.32,Two weeks ago as on 2026-04-07,Agmarknet
Potato,2026-04-14,Rs/Qtl,602.17,A week ago as on 2026-04-14,Agmarknet
Potato,2026-04-21,Rs/Qtl,679.42,Price as on 2026-04-21,Agmarknet
Tomato,2023-04-21,Rs/Qtl,891.08,Three years ago as on 2023-04-21,Agmarknet
Tomato,2024-04-21,Rs/Qtl,1461.6,Two years ago as on 2024-04-21,Agmarknet
Tomato,2025-04-21,Rs/Qtl,1010.75,An year ago as on 2025-04-21,Agmarknet
Tomato,2026-03-21,Rs/Qtl,1406.88,A Month ago as on 2026-03-21,Agmarknet
Tomato,2026-03-31,Rs/Qtl,1552.06,Three weeks ago as on 2026-03-31,Agmarknet
Tomato,2026-04-07,Rs/Qtl,1116.79,Two weeks ago as on 2026-04-07,Agmarknet
Tomato,2026-04-14,Rs/Qtl,1584.8,A week ago as on 2026-04-14,Agmarknet
Tomato,2026-04-21,Rs/Qtl,1977.13,Price as on 2026-04-21,Agmarknet
