year,estimate_type,price_type,sector,metric,value,uom
2015-16,Final Estimate,At Current Prices,Agriculture & Allied Sectors,GVA,2227532.8569677253,Crore Rupees
2015-16,Final Estimate,At Current Prices,Total Economy GVA,GVA,12574498.646204302,Crore Rupees
2015-16,Final Estimate,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,6.396664015167189,%
2015-16,Final Estimate,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,9.302791752227476,%
2016-17,Final Estimate,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,11.059696238589128,%
2016-17,Final Estimate,At Current Prices,Agriculture & Allied Sectors,GVA,2518662.0,Crore Rupees
2016-17,Final Estimate,At Current Prices,Total Economy GVA,GVA,13965200.0,Crore Rupees
2016-17,Final Estimate,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,13.069577946813327,%
2017-18,Final Estimate,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,12.35433144105073,%
2017-18,Final Estimate,At Current Prices,Agriculture & Allied Sectors,GVA,2829825.851359797,Crore Rupees
2017-18,Final Estimate,At Current Prices,Total Economy GVA,GVA,15505665.211523978,Crore Rupees
2017-18,Final Estimate,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,11.030742212957767,%
2018-19,Final Estimate,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,10.766794371774784,%
2018-19,Final Estimate,At Current Prices,Total Economy GVA,GVA,17175128.300824583,Crore Rupees
2018-19,Final Estimate,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,7.071078049573486,%
2018-19,Final Estimate,At Current Prices,Agriculture & Allied Sectors,GVA,3029925.045976456,Crore Rupees
2019-20,Final Estimate,At Current Prices,Agriculture & Allied Sectors,GVA,3368471.2325001503,Crore Rupees
2019-20,Final Estimate,At Current Prices,Total Economy GVA,GVA,18381117.315186866,Crore Rupees
2019-20,Final Estimate,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,11.173417869635486,%
2019-20,Final Estimate,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,7.021717644487017,%
2020-21,Final Estimate,At Current Prices,Total Economy GVA,GVA,18210997.144374497,Crore Rupees
2020-21,Final Estimate,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,-0.925515940599604,%
2020-21,Final Estimate,At Current Prices,Agriculture & Allied Sectors,GVA,3706469.39009785,Crore Rupees
2020-21,Final Estimate,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,10.034170823149061,%
2021-22,Final Estimate,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,10.603168310738576,%
2021-22,Final Estimate,At Current Prices,Total Economy GVA,GVA,21635583.63446037,Crore Rupees
2021-22,Final Estimate,At Current Prices,Agriculture & Allied Sectors,GVA,4099472.5779159307,Crore Rupees
2021-22,Final Estimate,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,18.805046549270106,%
2022-23,First Advance Estimates,At Current Prices,Total Economy GVA,GVA,24726214.608559996,Crore Rupees
2022-23,First Advance Estimates,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,14.284943851373534,%
2022-23,Second Advance Estimates,At Current Prices,Agriculture & Allied Sectors,GVA,4520817.980036895,Crore Rupees
2022-23,Second Advance Estimates,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,10.278039287072524,%
2023-24,First Advance Estimates,At Current Prices,Total Economy GVA,GVA,26712195.24452789,Crore Rupees
2023-24,Second Advance Estimates,At Current Prices,Agriculture & Allied Sectors,GVA,4692359.508340308,Crore Rupees
2023-24,Second Advance Estimates,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,3.7944798720255863,%
2023-24,First Advance Estimates,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,8.031883033484496,%
2024-25,Second Advance Estimates,At Current Prices,Agriculture & Allied Sectors,GVA,5413355.758463787,Crore Rupees
2024-25,Second Advance Estimates,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,15.365324179487166,%
2024-25,First Advance Estimates,At Current Prices,Total Economy GVA,GVA,29263608.71587167,Crore Rupees
2024-25,First Advance Estimates,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,9.551493046482005,%
2025-26,Second Advance Estimates,At Current Prices,Agriculture & Allied Sectors,GVA,5608471.246371563,Crore Rupees
2025-26,First Advance Estimates,At Current Prices,Total Economy GVA Growth Rate,Growth rate in GVA,10.539589679708646,%
2025-26,Second Advance Estimates,At Current Prices,Agriculture & Allied Sectors Growth Rate,Growth rate in GVA,3.60433521485656,%
2025-26,First Advance Estimates,At Current Prices,Total Economy GVA,GVA,32347873.0,Crore Rupees
